,mes,infeccoes,populacao,max,media,min,ind_pluv
615,4,387,1291771,26,21,17,86.8
616,5,376,1291771,23,18,15,65.4
617,6,61,1291771,22,17,13,55.3
618,7,21,1291771,22,16,13,43.5
619,8,11,1291771,24,18,13,41.6
620,9,7,1291771,24,19,15,98.6
621,10,11,1291771,25,20,16,104.3
622,11,28,1291771,26,21,18,126.9
623,12,23,1291771,27,22,19,181.0
624,1,1,158522,27,23,20,217.8
625,2,2,158522,28,23,20,201.0
626,3,1,158522,27,22,19,152.0
627,4,4,158522,25,21,18,92.6
628,5,1,158522,23,18,15,69.8
629,6,0,158522,22,17,14,62.4
630,7,0,158522,22,17,13,49.3
631,8,0,158522,23,17,14,43.3
632,9,0,158522,23,18,15,93.6
633,10,0,158522,24,19,16,103.8
634,11,1,158522,25,21,17,123.9
635,12,0,158522,26,22,19,176.0
636,1,0,232297,28,23,20,213.6
637,2,0,232297,28,23,20,191.4
638,3,2,232297,27,23,19,140.9
639,4,13,232297,26,21,18,81.4
640,5,26,232297,23,18,15,64.3
641,6,3,232297,22,17,13,57.1
642,7,4,232297,22,17,13,43.9
643,8,0,232297,23,18,14,39.8
644,9,1,232297,24,19,15,91.0
645,10,0,232297,25,20,17,101.1
646,11,0,232297,26,21,18,123.1
647,12,0,232297,27,22,19,176.8
648,1,0,369275,28,23,19,218.9
649,2,4,369275,28,23,19,200.4
650,3,49,369275,27,22,19,152.8
651,4,157,369275,25,21,17,92.0
652,5,122,369275,23,18,14,67.5
653,6,14,369275,22,16,13,56.3
654,7,3,369275,22,16,12,45.3
655,8,1,369275,23,17,13,43.3
656,9,0,369275,24,18,14,100.6
657,10,5,369275,25,20,16,105.8
658,11,1,369275,26,21,17,128.4
659,12,3,369275,27,22,18,182.0
660,1,0,118045,28,23,20,214.5
661,2,0,118045,28,24,20,191.9
662,3,2,118045,27,23,20,141.5
663,4,0,118045,26,21,18,81.4
664,5,0,118045,23,18,15,64.2
665,6,1,118045,22,17,14,56.7
666,7,2,118045,22,17,13,43.5
667,8,1,118045,24,18,14,39.9
668,9,0,118045,24,19,15,92.1
669,10,0,118045,25,20,17,101.6
670,11,0,118045,26,21,18,124.0
671,12,0,118045,27,23,19,178.0
672,1,0,27404,27,23,20,216.9
673,2,0,27404,28,23,20,204.0
674,3,32,27404,27,23,20,154.4
675,4,101,27404,25,21,18,96.1
676,5,38,27404,23,19,16,73.1
677,6,12,27404,22,17,14,68.1
678,7,0,27404,22,17,13,55.7
679,8,0,27404,23,18,14,45.7
680,9,0,27404,23,18,15,90.5
681,10,0,27404,24,20,16,102.5
682,11,1,27404,25,21,18,120.2
683,12,0,27404,27,22,19,169.9
684,1,0,93853,27,22,19,216.0
685,2,0,93853,28,23,19,191.2
686,3,1,93853,27,22,19,141.9
687,4,21,93853,25,20,17,80.8
688,5,10,93853,23,18,14,62.2
689,6,5,93853,22,16,13,51.5
690,7,1,93853,22,16,12,39.4
691,8,3,93853,23,17,13,40.2
692,9,1,93853,24,18,14,103.8
693,10,0,93853,25,20,16,104.9
694,11,0,93853,26,21,17,127.8
695,12,0,93853,27,22,18,183.8
696,1,3,418261,27,22,20,218.4
697,2,4,418261,27,23,20,203.4
698,3,16,418261,26,22,19,156.9
699,4,20,418261,25,21,18,97.7
700,5,29,418261,22,18,15,70.7
701,6,2,418261,21,17,14,61.1
702,7,2,418261,21,16,13,49.4
703,8,5,418261,22,17,14,44.9
704,9,6,418261,23,18,15,96.9
705,10,2,418261,24,19,16,104.9
706,11,0,418261,25,20,18,125.4
707,12,1,418261,26,22,19,177.1
708,1,5,451505,27,22,19,219.0
709,2,2,451505,28,23,19,202.1
710,3,5,451505,27,22,19,156.1
711,4,29,451505,25,21,17,96.3
712,5,40,451505,23,18,14,68.9
713,6,8,451505,22,16,13,57.2
714,7,7,451505,22,16,12,47.0
715,8,1,451505,23,17,13,44.4
716,9,0,451505,24,18,14,99.9
717,10,0,451505,25,20,16,105.9
718,11,0,451505,26,21,17,128.5
719,12,2,451505,27,22,18,181.0
720,1,6,728615,28,23,20,215.8
721,2,9,728615,28,24,20,194.2
722,3,46,728615,27,23,20,144.4
723,4,141,728615,26,21,18,84.1
724,5,115,728615,23,19,15,65.2
725,6,37,728615,22,17,14,57.0
726,7,16,728615,22,17,13,44.2
